,year,Price,kms_driven,fuel_type,house
647,2015,5000.0,22000,Petrol,Hyundai
648,2016,10650.0,41000,Diesel,Mahindra
649,2015,3500.0,25000,Diesel,Volkswagen
650,2012,3500.0,85000,Diesel,Toyota
651,2016,5400.0,29500,Diesel,Mahindra
652,2015,4700.0,30000,Petrol,Hyundai
653,2014,1790.0,57000,Petrol,Hyundai
654,2003,480.0,60000,Petrol,Maruti
655,2016,6500.0,50000,Petrol,Maruti
656,2013,1900.0,39700,Petrol,Hyundai
657,2012,5000.0,65000,Petrol,Hyundai
658,2010,2700.0,67000,Diesel,Maruti
659,2008,1250.0,46000,Petrol,Maruti
660,2012,1880.0,38000,Petrol,Hyundai
661,2016,3800.0,27000,Petrol,Hyundai
662,2011,3650.0,43000,Diesel,Hyundai
663,2014,4650.0,47000,Petrol,Ford
664,2011,2400.0,42000,Petrol,Hyundai
665,2016,1799.99,19336,Diesel,Chevrolet
666,2015,1400.0,60105,Diesel,Tata
667,2013,21900.0,29000,Diesel,Jaguar
668,2014,23900.0,34000,Diesel,Audi
669,2011,10750.0,35000,Diesel,BMW
670,2015,4750.0,22000,Petrol,Maruti
671,2012,10250.0,41000,Diesel,BMW
672,2016,6150.0,21000,Diesel,Maruti
673,2013,4750.0,48000,Diesel,Maruti
674,2016,2700.0,38000,Petrol,Maruti
675,2014,4750.0,34000,Diesel,Honda
676,2011,2400.0,45933,Petrol,Volkswagen
677,2005,1200.0,68000,Petrol,Honda
678,2016,19000.0,44000,Diesel,Audi
679,2017,3600.0,35000,Diesel,Mahindra
680,2018,4500.0,102563,Diesel,Tata
681,2015,9000.0,28600,Diesel,Mahindra
682,2017,6500.0,41800,Diesel,Maruti
683,2014,2750.0,116000,Diesel,Tata
684,2009,2100.0,59000,Petrol,Maruti
685,2004,1750.0,58000,Diesel,Mahindra
686,2009,850.0,45000,Petrol,Maruti
687,2015,14900.0,42590,Diesel,Mitsubishi
688,2014,8000.0,7400,Diesel,Renault
689,2009,4500.0,54500,Diesel,Volkswagen
690,2012,10000.0,200000,Diesel,Maruti
691,2013,15100.0,27000,Diesel,Audi
692,2015,18500.0,42000,Diesel,Volvo
693,2014,7900.0,29000,Petrol,Toyota
694,2015,17250.0,37000,Diesel,Mitsubishi
695,2012,1350.0,36000,Petrol,Chevrolet
696,2011,10000.0,34000,Diesel,BMW
697,2018,2999.99,7000,Petrol,Datsun
698,2009,12250.0,76000,Diesel,Mercedes
699,2004,1750.0,60000,Diesel,Mahindra
700,2011,2000.0,95000,Diesel,Volkswagen
701,2017,2700.0,50000,Diesel,Tata
702,2019,5250.0,0,Petrol,Ford
703,2006,1800.0,50000,Petrol,Honda
704,2008,1400.0,68000,Petrol,Maruti
705,2014,4000.0,16000,Petrol,Ford
706,2016,4990.0,51000,Diesel,Maruti
707,2009,850.0,56000,Petrol,Maruti
708,2004,700.0,100000,Petrol,Maruti
709,2015,5500.0,36000,Petrol,Renault
710,2014,3700.0,11523,Petrol,Maruti
711,2018,6900.0,1000,Petrol,Maruti
712,2009,2500.0,60000,Petrol,Honda
713,2016,1100.0,85000,Diesel,Tata
714,2013,4900.0,38600,Diesel,Renault
715,2009,3200.0,95500,Diesel,Mahindra
716,2004,680.0,56000,Petrol,Maruti
717,2014,1300.0,37458,Petrol,Maruti
718,2016,9700.0,85960,Diesel,Maruti
719,2015,31000.0,12516,Petrol,Audi
720,2018,2800.0,35000,Petrol,Hyundai
721,2009,1250.0,0,Petrol,Maruti
722,2008,2850.0,80000,Diesel,Mahindra
724,2011,1650.0,45000,Petrol,Hyundai
726,2009,2500.0,51000,Diesel,Maruti
727,2015,8650.0,30000,Diesel,Mahindra
729,2011,3900.0,48000,Diesel,Mahindra
730,2003,600.0,51000,Petrol,Hyundai
731,2015,2150.0,90000,Diesel,Chevrolet
732,2015,4750.0,43000,Diesel,Maruti
733,2015,8990.0,53000,Diesel,Mahindra
734,2013,14990.0,97000,Diesel,Toyota
735,2013,2400.0,20000,Petrol,Maruti
736,2007,990.0,55000,Petrol,Hyundai
737,2014,2600.0,120000,Diesel,Maruti
738,2019,12000.0,0,Petrol,Hyundai
739,2007,1150.0,46000,Petrol,Hyundai
740,2009,880.0,43200,Petrol,Hyundai
741,2011,3900.0,56000,Diesel,Mahindra
742,2007,1350.0,42000,Petrol,Hyundai
743,2009,900.0,30600,Diesel,Tata
744,2011,2200.0,38000,Petrol,Hyundai
745,2017,4249.99,2550,Petrol,Hyundai
746,2007,1350.0,47000,Petrol,Hyundai
747,2005,950.0,41000,Petrol,Honda
748,2017,4300.0,62500,Diesel,Nissan
749,2005,1150.0,68000,Petrol,Honda
750,2015,2150.0,50000,Petrol,Maruti
751,2004,530.0,69000,Petrol,Maruti
752,2012,5000.0,48000,Diesel,Maruti
753,2012,850.0,55000,Diesel,Tata
754,2013,1650.0,25000,Petrol,Maruti
755,2014,2000.0,28400,Petrol,Hyundai
756,2014,2000.0,28000,Petrol,Hyundai
757,2015,4250.0,42000,Diesel,Maruti
759,2012,6000.0,29000,Diesel,Hyundai
760,2005,1300.0,68485,Diesel,Chevrolet
761,2018,4300.0,3500,Petrol,Tata
762,2019,5685.0,0,Petrol,Tata
765,2006,710.0,32000,Petrol,Maruti
766,2018,5600.0,8000,Diesel,Mahindra
767,2014,5900.0,34000,Diesel,Ford
768,1995,7500.0,37000,Petrol,Hindustan
769,2007,1250.0,85455,Diesel,Ford
770,2007,1350.0,46000,Petrol,Hyundai
771,2002,600.0,47000,Petrol,Hyundai
772,2009,1200.0,64000,Petrol,Fiat
773,2008,950.0,46000,Petrol,Ford
774,2017,2400.0,8000,Petrol,Maruti
775,2012,1150.0,64000,Diesel,Tata
776,2015,7950.0,63000,Diesel,Mahindra
777,2007,550.0,65000,Petrol,Hyundai
778,2009,3000.0,62000,Diesel,Mahindra
779,2014,3200.0,41000,Petrol,Hyundai
780,2015,2650.0,14000,Petrol,Maruti
781,2006,1600.0,40000,Petrol,Toyota
782,2017,3000.0,1600,Petrol,Hyundai
783,2010,1300.0,90000,Diesel,Tata
784,2011,2500.0,58000,Diesel,Maruti
785,2013,3800.0,27000,Petrol,Volkswagen
786,2003,420.0,60000,Petrol,Maruti
787,2017,4000.0,31000,Petrol,Tata
788,2009,1200.0,90000,Diesel,Maruti
789,2009,1200.0,90000,Diesel,Maruti
790,2016,1300.0,150000,Diesel,Tata
791,2014,1890.0,31000,Diesel,Chevrolet
793,2011,3650.0,43000,Diesel,Mahindra
794,2013,1700.0,20000,Petrol,Hyundai
804,2013,2150.0,100000,Petrol,Tata
813,2013,600.0,7000,Petrol,Tata
814,2017,5999.99,31000,Petrol,Hyundai
815,2009,4000.0,33000,Petrol,Hyundai
816,2016,9000.0,60000,Diesel,Hyundai
817,2013,2999.99,48000,Diesel,Volkswagen
818,2014,3749.99,33000,Petrol,Maruti
819,2015,6000.0,15000,Petrol,Tata
820,2005,700.0,47000,Petrol,Maruti
821,2005,1000.0,40000,Petrol,Maruti
823,2010,1500.0,38000,Diesel,Maruti
824,2017,2250.0,12500,Petrol,Maruti
825,2009,2100.0,42000,Petrol,Maruti
827,2014,4250.0,31000,Petrol,Hyundai
828,2008,1620.0,60000,Diesel,Maruti
829,2005,600.0,80000,Diesel,Tata
830,2014,6500.0,77000,Diesel,Mahindra
831,2012,7500.0,75000,Diesel,Toyota
832,2010,3750.0,40000,Diesel,Mahindra
833,2011,2300.0,47000,Petrol,Hyundai
834,2000,359.99,60000,Petrol,Maruti
835,2016,3800.0,26500,Petrol,Mahindra
836,2019,5600.0,2875,Petrol,Mahindra
837,2016,2850.0,13900,Petrol,Datsun
838,2019,29000.0,9000,Diesel,Ford
839,2005,399.99,80000,Diesel,Tata
840,2006,850.0,60000,Petrol,Hyundai
841,2016,3950.0,20000,Petrol,Maruti
842,2008,1750.0,58000,Diesel,Maruti
843,2019,4000.0,1500,Petrol,Maruti
844,2011,7500.0,75000,Diesel,Toyota
846,2016,2500.0,2450,Petrol,Maruti
847,2019,4250.0,1625,Petrol,Maruti
849,2017,5250.0,45000,Petrol,Volkswagen
850,2009,1300.0,65000,Diesel,Mahindra
851,2000,300.0,33400,Petrol,Maruti
852,2011,4750.0,60123,Diesel,Mahindra
853,2013,3000.0,28000,Petrol,Chevrolet
855,2003,600.0,70000,Petrol,Hyundai
856,2006,1000.0,7000,Petrol,Maruti
857,2018,2600.0,25000,Petrol,Hyundai
858,2015,1000.0,100000,Diesel,Tata
860,2013,2650.0,42000,Petrol,Toyota
861,2009,1150.0,20000,Petrol,Hyundai
862,2003,1800.0,100000,Diesel,Toyota
863,2004,450.0,137495,Petrol,Hyundai
864,2016,505.0,91200,Diesel,Tata
865,2009,2700.0,55000,Petrol,Honda
866,2017,2900.0,120000,Diesel,Tata
867,2013,3250.0,63000,Diesel,Mahindra
868,2016,1600.0,104000,Diesel,Tata
869,2016,3500.0,146000,Diesel,Maruti
870,2011,2900.0,40000,Petrol,Hyundai
871,2011,2900.0,40000,Petrol,Hyundai
872,2007,4650.0,100800,Diesel,Chevrolet
873,2016,3250.0,150000,Diesel,Maruti
874,2018,5100.0,2100,Petrol,Hyundai
875,2016,8600.0,95000,Petrol,Honda
876,2016,4500.0,2500,Diesel,Maruti
877,2006,1250.0,80000,Petrol,Hyundai
878,2006,5000.01,15000,Petrol,Mercedes
879,2005,950.0,65000,Petrol,Maruti
880,2009,2500.0,51000,Diesel,Maruti
881,2009,1100.0,45000,Petrol,Skoda
883,2011,2700.0,50000,Petrol,Maruti
885,2009,1100.0,30000,Diesel,Tata
886,2009,3000.0,132000,Petrol,Toyota
888,2018,2600.0,27000,Diesel,Tata
889,2013,3900.0,40000,Diesel,Mahindra
